,ncodpers,age,fecha_alta,ind_nuevo,tiprel_1mes,renta,segmento
0,1303776,29,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
1,1303776,29,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
2,1303776,29,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
3,1303776,29,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
4,1303776,29,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
5,1303776,29,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
6,1303776,29,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
7,1303776,29,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
8,1303776,29,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
9,1303776,29,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
10,1303776,29,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
11,1303776,29,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
12,1303776,30,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
13,1303776,30,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
14,1303776,30,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
15,1303776,30,2014-09-08,0.0,A,158336.52,03 - UNIVERSITARIO
16,842857,40,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
17,842857,40,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
18,842857,40,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
19,842857,40,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
20,842857,40,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
21,842857,40,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
22,842857,40,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
23,842857,40,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
24,842857,40,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
25,842857,41,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
26,842857,41,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
27,842857,41,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
28,842857,41,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
29,842857,41,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
30,842857,41,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
31,842857,41,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
32,842857,41,2009-05-18,0.0,A,91979.94,02 - PARTICULARES
33,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
34,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
35,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
36,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
37,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
38,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
39,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
40,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
41,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
42,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
43,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
44,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
45,298530,57,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
46,298530,58,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
47,298530,58,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
48,298530,58,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
49,298530,58,2001-11-20,0.0,A,225500.37,02 - PARTICULARES
50,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
51,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
52,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
53,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
54,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
55,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
56,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
57,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
58,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
59,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
60,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
61,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
62,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
63,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
64,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
65,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
66,959273,39,2011-10-11,0.0,A,322880.46,02 - PARTICULARES
67,22019,80,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
68,22019,80,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
69,22019,80,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
70,22019,80,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
71,22019,80,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
72,22019,80,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
73,22019,80,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
74,22019,81,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
75,22019,81,1995-09-15,0.0,A,148600.95,02 - PARTICULARES
